iter	Logloss
186	0.1801303548
187	0.1801136812
188	0.1800875754
189	0.1800777173
190	0.1800739596
191	0.1800717689
192	0.1800065197
193	0.1799513873
194	0.179930241
195	0.1798629076
196	0.1798165684
197	0.1797738042
198	0.1797286972
199	0.1796773072
200	0.1796512014
201	0.1796194972
202	0.1795842636
203	0.1795202466
204	0.1794614022
205	0.1794118529
206	0.1793660157
207	0.1793210457
208	0.1792701425
209	0.1792265416
210	0.1791750603
211	0.1791448165
212	0.179087037
213	0.1790385679
214	0.1790260323
215	0.1789777761
216	0.178899185
217	0.1788493467
218	0.1788220239
219	0.178769569
220	0.1787159578
221	0.1787047914
222	0.1786736653
223	0.1786438323
224	0.1785819604
225	0.1785791612
226	0.1785262499
227	0.1785068075
228	0.1784167913
229	0.178404423
230	0.1783455176
231	0.1783436616
232	0.1782371696
233	0.1781640096
234	0.1781022137
235	0.1781019247
236	0.178051417
237	0.1780010311
238	0.1779796718
239	0.1779321612
240	0.1778738339
241	0.1778289552
242	0.1777884425
243	0.177747793
244	0.1776875489
245	0.1776380453
246	0.1776125177
247	0.1775734047
248	0.1775210106
249	0.1774873743
250	0.1774397876
251	0.1773762727
252	0.1773301768
253	0.1773143704
254	0.1772446789
255	0.177210282
256	0.1771767979
257	0.1771590897
258	0.1771448807
259	0.1770875271
260	0.1770225517
261	0.1769720136
262	0.1769276521
263	0.1768430366
264	0.1767753533
265	0.1767476045
266	0.1766587749
267	0.1765950622
268	0.1765850824
269	0.1765225259
270	0.1764915976
271	0.1764566834
272	0.1764491529
273	0.1763894565
274	0.176341459
275	0.1763239183
276	0.1762791612
277	0.1762632634
278	0.1762110823
279	0.1761721062
280	0.1761275013
281	0.1760565928
282	0.1760091126
283	0.1759579964
284	0.1759187769
285	0.1758946945
286	0.1758712206
287	0.1758234817
288	0.1757922187
289	0.1757704791
290	0.1757383489
291	0.1756556198
292	0.175608383
293	0.1756068465
294	0.1755714302
295	0.1755515923
296	0.1755481237
297	0.1754991526
298	0.1754732902
299	0.1754325494
300	0.175365718
301	0.1753241861
302	0.1752813915
303	0.1752272784
304	0.1752037893
305	0.1751365471
306	0.1751085702
307	0.1750654713
308	0.1750129859
309	0.1750015304
310	0.1749340449
311	0.174887371
312	0.1748323298
313	0.1747723443
314	0.1747356046
315	0.1746879266
316	0.1746343915
317	0.1745869417
318	0.1745629506
319	0.1745148922
320	0.1744587101
321	0.174389475
322	0.1743598854
323	0.1742948796
324	0.1742584441
325	0.1741976828
326	0.1741621753
327	0.1740975347
328	0.1740319508
329	0.1739906471
330	0.1739770313
331	0.1739209556
332	0.1738656102
333	0.1738302853
334	0.173782592
335	0.1737275357
336	0.1736799489
337	0.173631206
338	0.1736057088
339	0.1735203782
340	0.1734918688
341	0.1734403418
342	0.1733905948
343	0.1733603967
344	0.1733284187
345	0.1733112887
346	0.1732685245
347	0.1732217745
348	0.1731784779
349	0.1731456327
350	0.1731120725
351	0.1730515546
352	0.1730022487
353	0.1729258635
354	0.1729025266
355	0.1728712787
356	0.1728413849
357	0.1727789349
358	0.1727436252
359	0.1726911094
360	0.1726724733
361	0.172640617
362	0.1726254342
363	0.1725966053
364	0.1725486687
365	0.1724988
366	0.1724729985
367	0.1724006447
368	0.1723666586
369	0.1722856638
370	0.172245501
371	0.1721925289
372	0.1721698613
373	0.1720943584
374	0.1720156912
375	0.1719731096
376	0.1719355635
377	0.1718769321
378	0.1718377886
379	0.1718064648
380	0.1717538881
381	0.1717446842
382	0.1717230206
383	0.1716941157
384	0.1716591863
385	0.1715774764
386	0.1715533484
387	0.1715137942
388	0.1714868061
389	0.1714215569
390	0.1713778951
391	0.1713668504
392	0.1713250599
393	0.1712855513
394	0.1712151144
395	0.171175256
396	0.1711302403
397	0.1710907774
398	0.1710303964
399	0.1710028606
400	0.1709770591
401	0.1709400759
402	0.1709013584
403	0.1708593549
404	0.1708356072
405	0.1707902872
406	0.1707898308
407	0.1707472644
408	0.1706785618
409	0.1706274761
410	0.1706031503
411	0.170553738
412	0.1705289709
413	0.1705009027
414	0.1704605726
415	0.1704338736
416	0.1704116167
417	0.1703770981
418	0.1703585532
419	0.1702778627
420	0.1702598199
421	0.1702424161
422	0.1702083995
423	0.1701305994
424	0.1700747367
425	0.1700236053
426	0.1699913382
427	0.1699615357
428	0.1698938676
429	0.1698441358
430	0.1698125533
431	0.1697919243
432	0.1697507575
433	0.169715676
434	0.1696315168
435	0.1696047569
436	0.169551374
437	0.1695294062
438	0.1695120784
439	0.1694888175
440	0.1694674278
441	0.1694248766
442	0.1693998206
443	0.1693391962
444	0.1692923853
445	0.1692247933
446	0.1691952037
447	0.1691654163
448	0.1691303653
449	0.1690832349
450	0.1690029856
451	0.1689238772
452	0.1688608491
453	0.1688325526
454	0.1687963301
455	0.1687447423
456	0.168701537
457	0.168661998
458	0.1686017387
459	0.168567783
460	0.1685248971
461	0.1684920063
462	0.1684548406
463	0.1683965742
464	0.1683606712
465	0.1683158532
466	0.1682806196
467	0.1682105326
468	0.1681427884
469	0.1681052424
470	0.1680481018
471	0.1680194098
472	0.1679667114
473	0.1679343683
474	0.1679003365
475	0.1678741546
476	0.1678312536
477	0.1677882308
478	0.1677508977
479	0.1677176113
480	0.1676897408
481	0.1676337108
482	0.1675581623
483	0.1675178475
484	0.1674677201
485	0.1674358942
486	0.1673983482
487	0.1673671004
488	0.1673408425
489	0.1672910042
490	0.1672522107
491	0.1672205521
492	0.1671691773
493	0.1671290602
494	0.1670881216
495	0.167017274
496	0.1669854481
497	0.1669385459
498	0.166911071
499	0.1668743769
500	0.1668510399
501	0.1668300914
502	0.1667772865
503	0.1667314037
504	0.1666839843
505	0.1666527213
506	0.166608664
507	0.1665741606
508	0.1665432475
509	0.1665102653
510	0.166441365
511	0.1663747466
512	0.1663210746
513	0.1662824332
514	0.1662421944
515	0.1661795923
516	0.1661645922
517	0.1661135216
518	0.1660525625
519	0.1660215429
520	0.1659886369
521	0.1659529925
522	0.1659204211
523	0.1659064554
524	0.1658414953
525	0.1657922503
526	0.1657371635
527	0.1656823353
528	0.1656457933
529	0.1655978111
530	0.1655763301
531	0.1655238599
532	0.1654772012
533	0.1654405984
534	0.1654029002
535	0.1653587821
536	0.1653067835
537	0.1652545568
538	0.1652117317
539	0.165189627
540	0.1651212744
541	0.1650718468
542	0.1650436569
543	0.1650016382
544	0.1649476619
545	0.1649087619
546	0.1648576609
547	0.1648032891
548	0.1647115234
549	0.1646241999
550	0.1645784692
551	0.1645445286
552	0.1645119117
553	0.1644777581
554	0.1644680369
555	0.1644427831
556	0.1643810329
557	0.1643238011
558	0.1643048455
559	0.1642944093
560	0.1642591756
561	0.1642224206
562	0.1641630589
563	0.164117389
564	0.1640729666
565	0.1640350098
566	0.1639805011
567	0.1639206222
568	0.1638737505
569	0.1638305299
570	0.1637915538
571	0.163765448
572	0.1637197934
573	0.1636947525
574	0.163649752
575	0.1636194627
576	0.163580517
577	0.1635443097
578	0.1635212466
579	0.1634946844
580	0.1634360986
581	0.1634175994
582	0.1633844195
583	0.1633720208
584	0.1633437395
585	0.1633057371
586	0.1632630946
587	0.1632212433
588	0.163186466
589	0.1631438083
590	0.1630985644
591	0.1630723065
592	0.1630355515
593	0.1629574625
594	0.1629212704
595	0.1628838764
596	0.1628665943
597	0.1628145349
598	0.1627897071
599	0.1627340117
600	0.1627012578
601	0.1626628902
602	0.1626261505
603	0.1625944463
604	0.1625649176
605	0.1625197497
606	0.1624883498
607	0.1624623809
608	0.1624081004
609	0.1623843983
610	0.1623487843
611	0.1623040729
612	0.162256973
613	0.162215076
614	0.1621723879
615	0.162120937
616	0.1620731069
617	0.16202444
618	0.161982756
619	0.1619545964
620	0.1618807061
621	0.1618549959
622	0.1618213444
623	0.1617647363
624	0.1617260036
625	0.1616747201
626	0.161638239
627	0.1616098512
628	0.1615681216
629	0.161516762
630	0.1614695099
631	0.1614451841
632	0.1614141493
633	0.161359032
634	0.1613087678
635	0.1612637521
636	0.1612418147
637	0.1611940302
638	0.1611459567
639	0.1611189381
640	0.1610551646
641	0.1610113507
642	0.1609866598
643	0.1609498744
644	0.1609070189
645	0.1608657304
646	0.1608322919
647	0.1607914598
648	0.1607517535
649	0.1607024934
650	0.1606790803
651	0.1606563062
652	0.1606250432
653	0.1605912092
654	0.1605418273
655	0.1605132113
656	0.1604688042
657	0.1604466386
658	0.1604194983
659	0.1603538992
660	0.1603017029
661	0.160259882
662	0.1602136796
663	0.1601828426
664	0.160145327
665	0.1601128012
666	0.1600712085
667	0.160035275
668	0.1599875818
669	0.1599614608
670	0.1599200811
671	0.1599036204
672	0.1598368499
673	0.159805876
674	0.159784395
675	0.1597150687
676	0.1596948352
677	0.1596604078
678	0.1596379684
679	0.1595987185
680	0.1595619635
681	0.1595224398
682	0.1594971859
683	0.159465999
684	0.1594173625
685	0.1593753286
686	0.1593442025
687	0.1593067477
688	0.1592755912
689	0.1592453018
690	0.1591832778
691	0.1591371667
692	0.1591044889
693	0.1590602947
694	0.1590171806
695	0.158985948
696	0.1589496495
697	0.1589033559
698	0.1588875037
699	0.1588607286
700	0.158841986
701	0.1588252668
702	0.1587741658
703	0.1587433135
704	0.1587139826
705	0.1586667609
706	0.1586489616
707	0.1586343569
708	0.1585916688
709	0.1585645742
710	0.1585234531
711	0.1585072967
712	0.1584778897
713	0.1584525598
714	0.1584235179
715	0.1583954801
716	0.1583577362
717	0.1583423862
718	0.1583191861
719	0.1582885925
720	0.158249449
721	0.1582067001
722	0.1581955641
723	0.1581764716
724	0.15815852
725	0.1581252945
726	0.1580822109
727	0.158055527
728	0.1580195936
729	0.157992362
730	0.1579522754
731	0.1579346738
732	0.1578943285
733	0.1578609508
734	0.1578297791
735	0.1577671161
736	0.1577327648
737	0.1576856954
738	0.157655482
739	0.1576235801
740	0.1575811202
741	0.1575515458
742	0.1575321034
743	0.1575017532
744	0.1574536644
745	0.1574011182
746	0.1573739627
747	0.1573262695
748	0.1572756401
749	0.1572427341
750	0.1572262887
751	0.1571968969
752	0.1571710345
753	0.157109117
754	0.1570928998
755	0.1570768347
756	0.1570493445
757	0.1570340097
758	0.1569883854
759	0.1569512501
760	0.1569413007
761	0.1569100529
762	0.1568848143
763	0.1568387033
764	0.1567969279
765	0.1566994269
766	0.156669457
767	0.1566365966
768	0.1566085435
769	0.1565899378
770	0.1565620673
771	0.1565343946
772	0.1564764173
773	0.1564191094
774	0.1564006406
775	0.1563867054
776	0.1563698644
777	0.156324514
778	0.1562830125
779	0.1562645438
780	0.1562441582
781	0.1562228902
782	0.1561712567
783	0.156116961
784	0.1560671532
785	0.1560348709
786	0.1559968532
787	0.1559487036
788	0.1559047832
789	0.155886923
790	0.155840173
791	0.1558194527
792	0.155766374
793	0.1557193501
794	0.1556939898
795	0.1556773618
796	0.1556412002
797	0.15561692
798	0.1555804541
799	0.1555405956
800	0.1555111886
801	0.1554729123
802	0.1554482214
803	0.155435701
804	0.1554087128
805	0.1553739964
806	0.1553575358
807	0.15533607
808	0.1552954357
809	0.1552576006
810	0.1552216519
811	0.1551942987
812	0.1551031567
813	0.1550760165
814	0.1550478569
815	0.1550316397
816	0.1550010308
817	0.154978272
818	0.1549579168
819	0.1549314915
820	0.1548938998
821	0.1548730578
822	0.1548511509
823	0.1548069567
824	0.1547657747
825	0.1547255816
826	0.1547023967
827	0.1546879442
828	0.154645317
829	0.1545998144
830	0.1545795657
831	0.1545599712
832	0.1545238856
833	0.1544947981
834	0.1544821255
835	0.1544665625
836	0.1544452641
837	0.1544335195
838	0.1544026216
839	0.1543797715
840	0.1543541069
841	0.1543127727
842	0.1542930565
843	0.1542545824
844	0.1542198052
845	0.1541970311
846	0.1541634709
847	0.1541274918
848	0.1540882875
849	0.1540504524
850	0.1540228253
851	0.1540012074
852	0.153973839
853	0.1539349085
854	0.1538963736
855	0.1538709829
856	0.1538514036
857	0.1538023868
858	0.1537480911
859	0.1537237957
860	0.1537043685
861	0.1536924566
862	0.1536735618
863	0.1536532827
864	0.1536236627
865	0.1536052396
866	0.1535861775
867	0.1535775973
868	0.1535668264
869	0.153537252
870	0.1535016532
871	0.1534850253
872	0.1534604256
873	0.1534470685
874	0.1534285997
875	0.1533937159
876	0.1533568849
877	0.1533343086
878	0.1533163267
879	0.1533076856
880	0.1532927311
881	0.153266245
882	0.1532363359
883	0.1532193276
884	0.1531994136
885	0.1531762744
886	0.1531631302
887	0.1531293723
888	0.1531147524
889	0.1530863647
890	0.1530558927
891	0.1530375609
892	0.1530200049
893	0.1530028597
894	0.1529861252
895	0.1529482445
896	0.1529368499
897	0.1529134977
898	0.1528828736
899	0.1528480811
900	0.152835439
901	0.1527951698
902	0.1527643632
903	0.1527481155
904	0.1527266041
905	0.1527106912
906	0.1526950216
907	0.1526726279
908	0.1526514512
909	0.1526299093
910	0.1525780477
911	0.1525519876
912	0.152542023
913	0.1525172255
914	0.1525021189
915	0.1524730618
916	0.1524468343
917	0.1524360178
918	0.1524176098
919	0.1524067324
920	0.1523813569
921	0.152339399
922	0.1523011836
923	0.152287294
924	0.1522734196
925	0.1522601081
926	0.1522352498
927	0.1522032261
928	0.1521930485
929	0.1521611618
930	0.152143545
931	0.152104006
932	0.15208966
933	0.1520766832
934	0.1520347253
935	0.1519947603
936	0.1519598918
937	0.1519055352
938	0.1518858646
939	0.1518669395
940	0.1518529738
941	0.1518193832
942	0.1517901587
943	0.1517777752
944	0.1517463905
945	0.1517113698
946	0.1516812782
947	0.151650928
948	0.1516386966
949	0.1516114042
950	0.1515848268
951	0.1515554502
952	0.1515278231
953	0.1515028279
954	0.1514615242
955	0.1514431011
956	0.1514092975
957	0.1513822485
958	0.1513645404
959	0.1513430594
960	0.1513273595
961	0.1513154932
962	0.151261091
963	0.1512313493
964	0.1512137325
965	0.1511737675
966	0.1511529103
967	0.1511267893
968	0.1510876002
969	0.151035906
970	0.1510173459
971	0.1509993031
972	0.1509786741
973	0.1509422234
974	0.1509222637
975	0.1508873952
976	0.150863617
977	0.1508504577
978	0.1508196967
979	0.1507699497
980	0.1507389148
981	0.1507168558
982	0.1507041224
983	0.1506628795
984	0.1506385993
985	0.1506274329
986	0.1505883807
987	0.1505634768
988	0.1505487809
989	0.1505165138
990	0.1505074316
991	0.1504857985
992	0.1504372077
993	0.1504264672
994	0.1504072378
995	0.1503668468
996	0.1503515881
997	0.1503110754
998	0.1502848784
999	0.1502625911
