iter	Passed	Remaining
594	1883	1282
595	1886	1278
596	1890	1276
597	1894	1273
598	1897	1270
599	1900	1266
600	1903	1263
601	1907	1260
602	1910	1257
603	1913	1254
604	1916	1250
605	1919	1247
606	1922	1244
607	1925	1241
608	1928	1238
609	1931	1234
610	1934	1231
611	1938	1228
612	1941	1225
613	1944	1222
614	1947	1218
615	1950	1215
616	1953	1212
617	1956	1209
618	1959	1206
619	1962	1202
620	1966	1200
621	1970	1197
622	1974	1194
623	1977	1191
624	1980	1188
625	1983	1185
626	1986	1182
627	1990	1178
628	1992	1175
629	1996	1172
630	1999	1169
631	2003	1166
632	2006	1163
633	2009	1159
634	2012	1156
635	2015	1153
636	2018	1150
637	2021	1147
638	2024	1143
639	2027	1140
640	2030	1137
641	2034	1134
642	2037	1131
643	2040	1127
644	2043	1124
645	2046	1121
646	2049	1118
647	2053	1115
648	2056	1112
649	2059	1108
650	2062	1105
651	2065	1102
652	2069	1099
653	2072	1096
654	2075	1093
655	2078	1089
656	2081	1086
657	2085	1083
658	2088	1080
659	2091	1077
660	2094	1073
661	2096	1070
662	2101	1068
663	2104	1064
664	2107	1061
665	2110	1058
666	2113	1054
667	2116	1052
668	2119	1048
669	2122	1045
670	2125	1042
671	2128	1039
672	2132	1035
673	2135	1032
674	2138	1029
675	2141	1026
676	2143	1022
677	2146	1019
678	2150	1016
679	2153	1013
680	2156	1010
681	2159	1006
682	2162	1003
683	2165	1000
684	2168	997
685	2171	994
686	2174	990
687	2177	987
688	2181	984
689	2184	981
690	2187	978
691	2190	975
692	2193	971
693	2197	968
694	2200	965
695	2203	962
696	2206	959
697	2209	955
698	2212	952
699	2215	949
700	2218	946
701	2221	943
702	2224	939
703	2227	936
704	2231	933
705	2234	930
706	2237	927
707	2240	923
708	2242	920
709	2246	917
710	2249	914
711	2252	911
712	2255	907
713	2258	904
714	2261	901
715	2265	898
716	2268	895
717	2271	892
718	2274	888
719	2277	885
720	2280	882
721	2283	879
722	2286	876
723	2289	872
724	2292	869
725	2295	866
726	2298	863
727	2302	860
728	2305	856
729	2308	853
730	2311	850
731	2314	847
732	2317	844
733	2320	841
734	2323	837
735	2326	834
736	2330	831
737	2332	828
738	2335	825
739	2338	821
740	2342	818
741	2345	815
742	2349	812
743	2352	809
744	2355	806
745	2358	803
746	2361	799
747	2364	796
748	2367	793
749	2370	790
750	2373	787
751	2377	784
752	2380	780
753	2383	777
754	2386	774
755	2389	771
756	2392	767
757	2395	764
758	2398	761
759	2401	758
760	2404	755
761	2407	752
762	2410	748
763	2414	745
764	2417	742
765	2420	739
766	2423	736
767	2426	733
768	2429	729
769	2432	726
770	2435	723
771	2438	720
772	2441	717
773	2444	713
774	2447	710
775	2450	707
776	2453	704
777	2457	701
778	2460	697
779	2463	694
780	2466	691
781	2469	688
782	2472	685
783	2475	681
784	2478	678
785	2481	675
786	2484	672
787	2487	669
788	2490	666
789	2494	662
790	2497	659
791	2500	656
792	2503	653
793	2506	650
794	2509	647
795	2512	644
796	2515	640
797	2518	637
798	2521	634
799	2524	631
800	2527	628
801	2530	624
802	2533	621
803	2537	618
804	2540	615
805	2543	612
806	2546	608
807	2549	605
808	2552	602
809	2555	599
810	2558	596
811	2562	593
812	2565	590
813	2568	586
814	2571	583
815	2574	580
816	2577	577
817	2580	574
818	2583	570
819	2587	567
820	2590	564
821	2594	561
822	2597	558
823	2600	555
824	2603	552
825	2606	549
826	2609	545
827	2612	542
828	2615	539
829	2619	536
830	2622	533
831	2625	530
832	2628	526
833	2631	523
834	2634	520
835	2637	517
836	2640	514
837	2643	511
838	2646	507
839	2650	504
840	2653	501
841	2656	498
842	2659	495
843	2662	492
844	2665	488
845	2669	485
846	2671	482
847	2674	479
848	2678	476
849	2680	473
850	2684	470
851	2687	466
852	2690	463
853	2693	460
854	2696	457
855	2699	454
856	2702	451
857	2706	447
858	2709	444
859	2712	441
860	2715	438
861	2718	435
862	2721	432
863	2724	428
864	2727	425
865	2730	422
866	2733	419
867	2736	416
868	2739	413
869	2744	410
870	2748	407
871	2752	403
872	2755	400
873	2759	397
874	2762	394
875	2765	391
876	2769	388
877	2772	385
878	2776	382
879	2779	379
880	2783	375
881	2786	372
882	2790	369
883	2793	366
884	2797	363
885	2800	360
886	2804	357
887	2808	354
888	2812	351
889	2815	347
890	2818	344
891	2822	341
892	2825	338
893	2829	335
894	2833	332
895	2836	329
896	2840	326
897	2843	323
898	2847	319
899	2850	316
900	2854	313
901	2857	310
902	2861	307
903	2864	304
904	2868	301
905	2871	297
906	2874	294
907	2878	291
908	2881	288
909	2885	285
910	2888	282
911	2891	279
912	2895	275
913	2899	272
914	2902	269
915	2905	266
916	2909	263
917	2912	260
918	2915	256
919	2918	253
920	2921	250
921	2924	247
922	2928	244
923	2931	241
924	2933	237
925	2936	234
926	2940	231
927	2943	228
928	2946	225
929	2949	221
930	2952	218
931	2955	215
932	2958	212
933	2961	209
934	2964	206
935	2967	202
936	2970	199
937	2974	196
938	2977	193
939	2980	190
940	2983	187
941	2986	183
942	2989	180
943	2992	177
944	2996	174
945	2999	171
946	3002	168
947	3005	164
948	3008	161
949	3011	158
950	3014	155
951	3017	152
952	3021	149
953	3024	145
954	3027	142
955	3030	139
956	3033	136
957	3036	133
958	3040	129
959	3043	126
960	3046	123
961	3049	120
962	3052	117
963	3055	114
964	3058	110
965	3061	107
966	3064	104
967	3067	101
968	3071	98
969	3074	95
970	3077	91
971	3080	88
972	3083	85
973	3087	82
974	3090	79
975	3093	76
976	3096	72
977	3099	69
978	3103	66
979	3106	63
980	3109	60
981	3112	57
982	3115	53
983	3119	50
984	3122	47
985	3125	44
986	3128	41
987	3131	38
988	3137	34
989	3141	31
990	3144	28
991	3147	25
992	3151	22
993	3154	19
994	3157	15
995	3160	12
996	3163	9
997	3166	6
998	3169	3
999	3172	0
